"","Primera División Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Títulos Nac.","Titulos Int.",""
"","U. de Alartela","Montefaro","Estadio Universitario","65.000","","1890","19","77,79"," $873.000.000","28","4","2 cont, 1 sub, 1 rec"
"","Club Atlético Peñarol de Alartela","Mirasoles","Velódromo del monte","58.000","","1905","25","73,67"," $552.500.000","22","5","2 cont, 1 sub, 1 rec, 1 mun"
"","Club Atlético Nacional de Alartela","Mirasoles","Ricardo J. Llanos","54.000","","1904","25","74,00"," $362.000.000","21","3","1 cont, 1 sub, 1 rec"
"1","Atlético Minella","Minella","Armando P. Rosas","22.000","","1933","22","71,68"," $362.300.000","3","-",""
"6","Deportivo Mirasoles","Mirasoles","Jorge Díaz ""La puesta""","21.000","","1951","24","68,55"," $257.400.000","5","-",""
"16","Tordesillas F.C","Montefaro","Juan Tordesillas","19.000","","1984","21","66,85"," $73.500.000","0","-",""
"14","Rembista C.D","Guillanas","Pedro A. Fagundez","12.000","","1955","24","66,84"," $73.300.000","0","-",""
"3","Baldamiras C.A","Baldamiras","La baldama","24.000","","1928","23","69,50"," $264.900.000","7","-",""
"17","Unión de Guillanas","Guillanas","Benicio Gutierrez","19.000","","1947","22","69,20"," $131.580.000","0","-",""
"5","C.A. Turinas","Carimba","Manuel Borras","18.000","","1928","22","65,30"," $55.700.000","0","-",""
"","Huracán de Carimba","Carimba","Palacio Alvear","41.000","","1909","24","69,04"," $173.270.000","12","-",""
"11","Montefaro AC","Montefaro","Felipe Lonosstro","13.000","","1977","21","63,90"," $23.200.000","0","-",""
"7","Douglas Kenig","Carimba","Pablo Grisales","14.000","","1966","20","65,25"," $135.700.000","0","-",""
"","Maberra Wanderers","Minella","Antonio Gulla","31.000","","1914","","64,86","","6","-",""
"","A. Montefaro","Montefaro","Heraldo Martinez","32.000","","1916","22","66,65"," $55.470.000","9","-",""
"","Alfas C.D","Guillanas","Juan Rizzi ""La Cueva""","26.000","","1925","24","65,77"," $50.800.000","4","-",""
"","Sportivo Fillar","Carimba","Humberto Rosales","41.000","","1919","21","66,14"," $46.460.000","11","-",""
"8","Elfeme C.D.","Guillanas","Dardo Trazzo","16.000","","1934","22","64,63"," $25.750.000","0","-",""
"","Segunda División","","","","","","","","","","",""
"1","9 de agosto","Carimba","Estadio Munic. de Carimba","17.000","","1960","","","","","",""
"2","9 de noviembre","Carimba","Estadio Munic. de Carimba","17.000","","1960","","","","","",""
"3","Alarteleanos Juniors","Montefaro","Norberto Galusczi","13.000","","1925","","","","","",""
"4","Atlético Amparo","Guillanas","Mauro Montessi","11.000","","1931","","","","","",""
"5","Bambas National Football","Minella","Estadio de La Bamba","14.000","","1917","","","","","",""
"6","Bisque Fútbol Club","Montefaro","Fermin Varela","9.000","","1980","","","","","",""
"7","Carmin Asociación Civil","Carimba","Estadio CCC","13.000","","1965","","","","","",""
"8","Cumillas Fútbol Club","Mirasoles","Armando Ital","14.000","","1975","","","","","",""
"9","Diáspora Athletic","Montefaro","Estadio del Negro","18.000","","1950","","","","","",""
"10","Deportes Mirasol","Mirasoles","La conejera","10.000","","1982","","","","","",""
"11","Ecrisales Asociación Dep.","Minella","Estadio Cristal","8.000","","1999","","","","","",""
"12","Guillanas Sociedad de Dep.","Guillanas","Fausto Boritz","9.000","","2001","","","","","",""
"13","Huracán de Mirasoles","Mirasoles","Julio M. Pastore","11.000","","1978","","","","","",""
"14","Montes del Faro A.C.","Montefaro","Carlos Pietro","11.000","","1982","","","","","",""
"15","Sol de Alartela","Montefaro","Estadio del Sol","12.000","","1964","","","","","",""
"16","Tristán Mateo","Minella","Fernando Mateo","17.000","","1955","","","","","",""
"17","Villa Mansur Club Atlético","Mirasoles","Villa Bonita","13.000","","1945","","","","","",""
"18","Zarza Athletic Club","Carimba","El zarzodromo","5.000","","2015","","","","","",""
