"Primera División de Baigorria ","Club","Ciudad","Estadio","Capacidad","","","1° año en la Div.","Fundación","Jug.","Ovr","($)"
"","Chocosoco Futbol Club","Soerá","Julián Lantares","34.000","","","","15 de febrero de 1922","20","65,10"," $51.000.000"
"","Club Aleareante","Cuchalemba","Aleareante del Sur","23.000","","","","30 de marzo de 1936","21","63,43"," $20.580.000"
"","Club Baigórrial","Soerá","Nacional de Baigorria","55.000","","","","21 de septiembre de 1926","23","66,39"," $132.300.000"
"","Club Cerro Colorado","Arize","Blas Hernández Díaz","10.600","","","","","18","60,17"," $7.150.000"
"","Club Deportivo Bulolero","Villa Himbar","Nehuén Lanin","16.300","","","","20 de diciembre de 1938","22","62,64"," $12.190.000"
"","Club Deportivo Oriente Minero","Ciudad del Oeste","Jacobo Giron","15.400","","","","24 de mayo de 1930","23","61,35"," $8.190.000"
"","Club Granadina","Arize","Armenio Dual Paz","14.500","","","","5 de abril de 1940","22","61,18"," $10.170.000"
"","Club La Olímpica","La Esperanza","Olímpico de Baigorria","22.000","","","","","21","60,38"," $7.650.000"
"","Club Rivotril Boys","El Bajo","Armando Frula","26.000","","","","24 de octubre de 1969","19","62,89"," $11.270.000"
"","Club Trumin","Ciudad del Oeste","Evaristo Martínez","16.400","","","","12 de marzo de 1951","20","61,45"," $7.240.000"
"","Club Verdolero","Soerá","La Verdolera","32.000","","","","10 de julio de 1931","20","66,05"," $89.600.000"
"","Klumolonte Futbol Club","La Esperanza","Franco Palabalala","42.000","","","","6 de agosto de 1929","21","65,81"," $37.100.000"
" Segunda División de Baigorria","","","","","","","","","","",""
"","Club","Ciudad","Estadio","","","","","","","",""
"","Club Sportivo Damerso","Cuchalemba","Isidro José Pérez","16500","","","1953","","","",""
"","Club Galindia","El Bajo","Dr. Juan Galvano","28000","","","1920","","","",""
