"","Primera División Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Títulos Nac.","Titulos Int.",""
"","Águilas Fútbol Club","Bilirrubina","Alberto Grisales","24.000","","1909","#REF!","#REF!","#REF!","25","0",""
"","Alumnos de Feri","Feri","Estadio Yakinara","17.000","","1920","#REF!","#REF!","#REF!","16","0",""
"","Atlético Vayol","Vayol","Estadio Héroes de Vayol","42.000","","1947","#REF!","#REF!","#REF!","66","2",""
"","César Guaman","Bilirrubina","Estadio del Olimpo","38.000","","1936","#REF!","#REF!","#REF!","32","0",""
"","Deportivo Municipal","Bilirrubina","Olímpico de Everiá","20.000","","1909","#REF!","#REF!","#REF!","13","0",""
"","Diablos Dorados","Villamar","Estadio Municipal","23.500","","1938","#REF!","#REF!","#REF!","20","3",""
"","Esportivo Everiano","Bilirrubina","Palacio del Deporte","19.000","","1930","#REF!","#REF!","#REF!","0","0",""
"8","Feri Fútbol Club","Feri","Estadio Armando Feri","22.000","","1925","#REF!","#REF!","#REF!","0","0",""
"9","Filiales Unidas","Villamar","Hermanos Vargas","19.000","","1944","#REF!","#REF!","#REF!","0","0",""
"10","Garzón Atlético Club","Bilirrubina","Ramón Fanny","26.000","","1912","#REF!","#REF!","#REF!","5","0",""
"","Lucero Club Atlético","Feri","Estadio de la luz","14.000","","1956","#REF!","#REF!","#REF!","0","0",""
"","Monasterio Fútbol Club","Villamar","Frai Carlos III","20.000","","1900","#REF!","#REF!","#REF!","9","0",""
"13","Minaguilla Atlético","Feri","Tito Wilmar","17.000","","1970","#REF!","#REF!","#REF!","1","0",""
"14","Namira Asociación Deportiva","Villamar","Estadio observatorio","16.000","","1925","#REF!","#REF!","#REF!","0","0",""
"15","Ospillet Fútbol Club","Feri","Stadio Della Ospillet","18.000","","1937","#REF!","#REF!","#REF!","5","0",""
"16","Principado Club de Elite","Vayol","Campo de Matina","31.000","","1914","#REF!","#REF!","#REF!","3","0",""
"","Real Vayol","Vayol","Estadio del Rey","60.000","","1926","#REF!","#REF!","#REF!","12","0",""
"","Vetev","Villamar","Diego Quiñones","40.020","","1907","#REF!","#REF!","#REF!","33","1",""
"","Segunda División","","","","","","","","","","",""
"","Club","Ciudad","Estadio","","1° año en la Div.","","","","","","",""
"1","Ademar Fútbol Club","Feri","Estadio del Mar","12.000","","1965","","","","","",""
"2","Alsines Deportivo y Filial","Villamar","Jorge G. Alsines","15.000","","1972","","","","","",""
"3","Barsales Club Atlético","Vayol","Estadio de la Barça","11.000","","1944","","","","","",""
"4","Biñol Athletic Club","Vayol","Jairo Pizuerra","9.000","","1998","","","","","",""
"5","Castas Fútbol Club","Villamar","Simón Palet","8.000","","2002","","","","","",""
"6","Cazerra Atlético","Bilirrubina","Estadio de la Sierra","6.000","","2015","","","","","",""
"7","Chambo de Everiá","Bilirrubina","Estadio de Los Campos","17.000","","1987","","","","","",""
"8","Deportes Recife","Feri","El Arrecife","16.000","","1932","","","","","",""
"9","Deportivo Maruya","Bilirrubina","Julian Maidana","7.000","","1997","","","","","",""
"10","Espelet Asociación Atlética","Villamar","Charles Espelet","9.000","","2006","","","","","",""
"11","Everianos Unidos","Bilirrubina","Estadio Nacional","12.000","","1972","","","","","",""
"12","Fijarro Fútbol Club","Feri","Fernando Abiles","5.000","","2013","","","","","",""
"13","Garete Atletico","Vayol","Dario Garete","9.000","","1995","","","","","",""
"14","Júscar Guaman","Bilirrubina","Hugo Cramer","8.000","","1997","","","","","",""
"15","Nordeste Unido","Feri","La resistencia","14.000","","1921","","","","","",""
"16","Parce Fútbol Club","Bilirrubina","Leopoldo Remini","8.000","","2001","","","","","",""
"17","River Piston Sociedad Atlética","Villamar","Estadio Piston","6.000","","2009","","","","","",""
"18","Villamar Athletic","Villamar","La Villa","19.000","","1938","","","","","",""
