"","Liga Jopan 1º Division (Jopan Ligue 1) Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Colores","","Títulos Nac.","Titulos Int.",""
"#REF!","Al-Toawa","Amir","Alhamed Toawa","22.000","1938","","","","","Rojo","","","0",""
"#REF!","Fukuoka Chiba","Fukuo","Chibaku","40.000","1932","22 de marzo de 1905","","","","","Blanco","","0",""
"#REF!","Haidro Füma","Füma","Stade Haidroshima","70.000","1932","29 de marzo de 1905","","","","Naranja","Turquesa","","3","2 Sub - 1 Recopa"
"#REF!","Hiroshe Kobe","Hiroshe","Kobe Stade","33.000","1932","26 de marzo de 1905","","","","Verde oscuro","","","0",""
"#REF!","Jinju Füma","Füma","Jinju Stade","21.000","1932","27 de marzo 1905","","","","Verde Claro","Purpura","","0",""
"","Konoka F.C.","Kyto","Mount Dream Stado","21.000","1932","23 de marzo de 1905","25","65,84"," $63.000.000","Naranja oscuro","Azul Claro","","0",""
"","Korazano","Kyto","Highest Place","12.500","1932","5 de abril de 1905","23","66,29","","Naranja oscuro","","","0",""
"","Kyōkai","Füma","Kyōkaichou","20.000","1932","19 de marzo de 1905","17","68,09"," $114.800.000","Salmon","Celeste","","0",""
"","Meiwan-Ho","Lin","Hong Ming Meiwan","19.000","1935","","20","65,63","","Azul Claro","Rojo","","0",""
"","Nitodoke","Kyto","Nazahara Stado","11.000","1930","7 de abril de 1905","21","67,75"," $60.000.000","Azul Claro","Rosa","","0",""
"","Nouping Young","Wan Ling","Niunpin Stado","14.000","1950","12 de abril de 1905","19","66,73"," $62.800.000","Blanco","Azul","","0",""
"","Blue Lock Project","Kyto","Blue Lock Stade","17.500","1940","5 de abril de 1905","22","65,77"," $141.605.000","Azul Raro","Negro","","0",""
"","Pim Won","Wan Ling","Skydive","24.200","1930","15 de marzo 1905","22","66,64"," $75.100.000","Verde Oscuro","Rojo","","0",""
"","Shinobin City","Kyto","Namikaza","19.000","1938","13 de abril de 1905","25","64,64"," $45.810.000","Naranja oscuro","","","0",""
"","Wuukong Low","Lin","Monkey Goku","12.200","1972","14 de abril de 1905","0","66,10"," $107.700.000","Marroncito","Celeste","","0",""
"","Yaeger Boys","Kyto","Titan Wall","14.500","1946","11 de abril de 1905","22","66,58"," $37.800.000","Verde ","Celeste","","0",""
"","Zao Zun","Lin","Outher Stado","8.000","1999","10 de junio de 1905","0","65,89"," $26.300.000","Violeta","Morado","","0",""
"","Zhar-Ala","Amir","Mohamed Zhar","20.000","1931","","22","65,55"," $36.400.000","Amarillo","Gris","","0",""
