"","Primera división kentimbiana Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Ovr","($)"
"","Altardez Verdi-Rojo","Altardez, Maltania","Tardío Verdi-Rojo","38.500","1978","16 de enero de 1972","75,00"," $578.100.000"
"","Asociación Alburgo de Kentucky","Alburgo, Kentucky","Central Alburgo","40.000","1927","7 de julio de 1918","75,00"," $546.000.000"
"","Asociación Alburgo de Maltania","Ciudad de Maltania, Maltania","Central Alburgo de Maltania","17.200","2020","20 de diciembre de 2010","68,68"," $147.890.000"
"","Athletic Club Tigers","New Tigers, New Tigers","Estadio Germán Legerson","72.000","1919","26 de diciembre de 1908","81,57"," $1.504.800.000"
"","Black Dragons Fútbol Club","Ciudad Dragón, New Tigers","Estadio De Pachuqui","52.000","1943","8 de julio 1940","77,52"," $1.031.000.000"
"","Breffud Club de Fútbol","Robledo Este, Islas Miltrán","Comandante Breffud","48.000","1919","4 de mayo de 1915","75,81"," $550.000.000"
"","Chambo Fútbol Club","Los Campos, Islas Miltrán","Nacional de Isla Miltrán","83.200","1919","8 de septiembre de 1905","80,09"," $1.198.000.000"
"","Club Atlético Akatsuki","Konoha, New Tigers","General Uchiha","45.000","1930","5 de noviembre 1928","73,50"," $494.480.000"
"","Club Atlético Gatunos","Gatovilla, New Tigers","Estadio Whiskas","21.000","2007","12 de marzo de 1952","75,09"," $571.000.000"
"","Club Atlético Lions","Ciudad de Maltania, Maltania","C.A.L. Arena","78.000","1919","21 de mayo de 1908","80,32"," $1.209.000.000"
"","Club Atlético Perrunos","Perrovilla, New Tigers","Estadio Dog Chow","25.000","1956","15 de septiembre 1936","74,08"," $631.500.000"
"","Club Atlético Pescopagano","Hitletania, Hitletania","Estadio Juan Domingo Perón","50.000","1946","17 de octubre de 1918","75,40"," $776.400.000"
"","Club Atlético Pochoclo","Pochocla, Kentucky","Leonardo Bertucci","40.000","1919","22 de mayo de 1915","75,24"," $402.900.000"
"","Club Atlético Sarpag","Sarpag, Islas Miltrán","J.J. Altamirano","33.200","1930","29 de enero de 1908","76,30"," $537.000.000"
"","C.D. Miralbueno","Miralbueno, Hitletania","Estadio Miralbueno","40.500","1919","10 de enero de 1915","69,05"," $192.000.000"
"","Deportivo Zorura","Zorura, Kentucky","José Zorura","31.400","1970","28 de julio de 1930","68,05"," $156.200.000"
"","Dintra Ferdinand Kazem","Crazeno, Maltania","Stadion","42.000","1919","14 de junio de 1911","69,38"," $120.280.000"
"","Fieshida Fútbol Club","Fieshidonia, Maltania","Estadio Fieshidonia","43.200","1932","24 de julio de 1929","72,52"," $386.460.000"
"","Kentucky Fútbol Club","Kentucky, Kentucky","Fabricio A. Faccelo","65.500","1919","18 de agosto de 1908","79,79"," $984.000.000"
"","Liberty Club de Fútbol","Robledo Oeste, Islas Miltrán","Estadio Libertad","60.000","1930","6 de enero de 1915","79,91"," $1.140.900.000"
"","Segunda división kentimbiana","","","","","","",""
"","Club","Ciudad","Estadio","","","","",""
"","Atlético Puerto Carreño","Kentucky, Kentucky","Polideportivo Puerto Carreño","30.000","1991","27 de enero de 1970","67,09"," $65.860.000"
"","Avellán Fútbol Club","Maizales, Islas Miltrán","D. Puglietta (""El Maizal"")","35.000","1950","3 de mayo de 1919","70,59"," $41.490.000"
"","Bangresal","20 de Marzo, Hitletania","Estadio Rodolfo Bangresal","18.000","","","65,50",""
"","Clinmberlech","Clinmberlech, Maltania","Coloso de Kentimbo","","","","67,38",""
"","Club Atlético Chilia","Chilia, Kentucky","Carlos B. López","25.000","","14 de octubre de 1932","65,53"," $36.400.000"
"","Club Atlético Evalevia","Evalevia, Kentucky","Antonio Aleva","18.500","2003","17 de marzo de 1940","64,25",""
"","Club Atlético Miltrán","Isla Vieja, Islas Miltrán","Tablón de la Rivera","29.000","1928","9 de junio de 1898","67,46"," $71.500.000"
"","Club Atlético Saint Thomas","Surlaurus, Islas Miltrán","Doctor Googol","14.000","2016","2 de febrero de 1980","66,50"," $63.340.000"
"","Club Social y Deportivo Dinamo","Kentucky, Kentucky","Único de Kentucky","32.000","","","65,11"," $40.050.000"
"","Deportivo Internacional","Himmler, Hitletania","Estadio Nacional Himmler","34.000","2004","","65,57"," $37.910.000"
"","Emkatsú","Karsudo, Hitletania","Estadio Emkatsú","35.000","","","63,05"," $9.540.000"
"","Eslora","Ancora, Islas Miltrán","Luis Magdano (""El Astillero"")","18.700","","20 de diciembre de 1925","",""
"","Georgeus Fútbol Club","Estebio, Maltania","Stadio Georgio Di Votto","41.250","1950","23 de agosto de 1929","64,71",""
"","Las Piedras Fútbol Club","Bedrock, Hitletania","Estadio Minería","15.500","1940","","65,11"," $13.470.000"
"","Ligero","Ligestina, New Tigers","Estadio Ligestina","16.000","2012","24 de octubre de 1965","69,87",""
"","Magerios Fútbol Club","Estebio, Maltania","Stadio Georgio Di Votto","41.250","1954","8 de enero de 1933","67,00"," $29.500.000"
"","Pensiste Fútbol Club","Pensilvania, New Tigers","Estadio Lunar","12.580","1988","13 de abril de 1947","70,05"," $171.990.000"
"","Punta Bergocha Fútbol Club","Maltania, Maltania","Estadio Bergocha","12.500","","7 de noviembre de 2003","61,29"," $8.100.000"
"","Sambria Fútbol Club","Sambria, Kentucky","Jorge M. Sambria","20.000","","13 de junio de 1926","68,22"," $57.300.000"
"","White Dragons F.C.","Ciudad Dragón, New Tigers","Dragons Estadium","23.500","1940","28 de mayo de 1940","71,50"," $128.180.000"
