"Primera División de Liconia ","Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Colores",""
"","Athlitikos Omilos Xenthav","Vallex","Mehemed Vartikopoulos","28000","","1932","22","65,86"," $76.100.000","",""
"","Berelaseray Spor Kulübü","Rodov","Grand Arena Kalskalesary","26300","","1921","22","64,36"," $21.460.000","",""
"","Cratem Football Club","Tamses","Ydyr Yilmaz","31500","","1926","24","64,92"," $54.040.000","",""
"","Danozlaspor Kulübü","Rixmont","Ignato Galanas","21000","","1949","22","64,77"," $47.900.000","",""
"","Delavallex Athletic","Vallex","Stádico Vallex","45000","","","21","72,48"," $487.900.000","",""
"","Dromitesk Athenon","Vallex","Bonin Vrioni","30000","","1917","22","64,50"," $28.700.000","",""
"","Fotbal Club Steaua Tamses","Tamses","Sommits Freugh","36700","","1912","22","64,91"," $22.680.000","",""
"","Gotveja Futbola Skola","Rodov","Hinzes Badussla","14000","","1976","22","62,14"," $10.260.000","",""
"","Latathonaikós Léschi Podósfairo","Kunyev","Olympiakó Stádio Ithonan","40000","","1930","22","67,05"," $66.000.000","",""
"","Lomous Football Club","Tamses","Valerieva Stadium","19800","","1947","22","64,18"," $32.200.000","",""
"","Onkarayaspor Kulübü","Conokkles","Onkaraya Arena","33000","","1921","22","67,09"," $88.380.000","",""
"","Orus Thasselka","Rodov","Samoil Berkovski","15500","","1968","20","64,05"," $34.090.000","",""
"","Rixmont Athletic","Rixmont","Montaigne Stradua","35000","","1913","21","72,00"," $392.200.000","",""
"","Rodov Futbola Klubs","Rodov","Menzort Denoye","29400","","1951","24","68,33"," $200.100.000","",""
"","Röztip Spor Kulübü","Astumbiel","Gersal Iksol","25400","","1917","21","66,43"," $64.700.000","",""
"","Sportive Blicalal","Rixmont","Tümkurt Yorulmaz","40000","","1909","24","71,46"," $393.700.000","",""
