"🔍️ ","Mirmanian League - 1st Division Ojeador Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Colores",""
"","Athletic Club Rossonero","Vichencia","Rossodromo","20.000","","","23","71,83"," $425.700.000","",""
"","Atlético De Vichenzo","Vichencia","San Polinómico","95.000","","","22","81,18"," $1.464.000.000","",""
"","Buwling Sports Association","Raziel","Louis Buwling","33.000","","","22","67,91"," $166.400.000","",""
"","Deportive Inquisition","Ferelden","Skyfall ","41.000","","","22","68,71"," $189.580.000","",""
"","East Harmon Football Club","Harmon","Etiharmon Stadium","50.000","","1 de agosto de 1913","22","75,62"," $660.000.000","",""
"","Everdehb Football Club","Aidkoven","Saint-Dypherm","50.000","","18 de febrero de 1928","19","79,89"," $955.000.000","",""
"","Golden River","Aidkoven","Oblinfox Stadium","65.000","","28 de septiembre de 1898","19","77,48"," $1.207.200.000","",""
"","Hearthstone Football Club","Ferelden","Estadio Lord Antonidas","32.000","","","22","68,13"," $137.800.000","",""
"","Homirp Wedvisch Fussball-Club","Wedvisch","Ing. Arnim Metz","32.400","","4 de agosto de 1930","23","74,65"," $702.070.000","",""
"","Kingdom United","Ferelden","Hearts Stadium","47.500","","","20","71,14"," $390.850.000","",""
"","Leyrecse Football Club","Raziel","Raziel Park","41.000","","10 de octubre de 1900","21","79,38"," $1.020.700.000","",""
"","Rakein S.F.","Raziel","Raziel State","118.000","","","21","82,48"," $1.675.000.000","",""
"","Sporting Club Den Brask","Wedvisch","Parker Patterson","37.000","","17 de junio de 1929","19","75,11"," $391.000.000","",""
"","Sporting Conquerors","Ferelden","Big Empire","25.000","","4 de mayo de 1925","22","73,17"," $548.200.000","",""
"","Uppletton City","Uppletton","Bamford Bridge","32.000","","13 de septiembre de 1909","21","70,48"," $296.400.000","",""
"","Uppletton United","Uppletton","Bamford Bridge","32.000","","27 de septiembre de 1904","21","70,62"," $279.600.000","",""
"","Villa Cerdoña Club de Fútbol","Cerdoña","Cerdoña Camp","38.000","","29 de noviembre de 1899","22","72,41"," $402.700.000","",""
"","Wallhoom City Club","Wallhoom","WH Park","45.000","","27 de febrero de 1905","23","73,61"," $504.800.000","",""
"","West Harmon City","Harmon","Old Villamon","76.000","","15 de abril de 1895","17","79,55"," $1.228.200.000","",""
"","Zephyr Sporting Club","Ferelden","Sir Aletardo","18.000","","29 de mayo de 2017","20","67,85"," $114.900.000","",""
"","Mirmanian Championship - 2nd Division","","","","","","","","","",""
"","Club","Ciudad","Estadio","","1° año en la Div.","","","","","",""
"","02 Points Football Club","Wedvisch","02 Arena","20.500","","5 de agosto de 1978","","","","",""
"","Ahtletic Mine","Harmon","Cavetown Mine","25.000","","25 de octubre de 1933","","","","",""
"","Associacione Sportiva Anglica","Zerigolia","Marcio Veratta","33.000","","25 de noviembre de 1930","","","","",""
"","Atlético Villagrés","Cerdoña","Pedri Benixto","21.000","","7 de octubre de 1948","","","","",""
"","Black Thieves","Ferelden","Wild Sea","34.800","","7 de abril de 1952","","","","",""
"","Borussia Wedvisch 07","Wedvisch","Wedvischstadion","32.000","","19 de diciembre de 1909","","","","",""
"","Chertleton Athletic","Harmon","MPFF Stadium","28.500","","12 de marzo de 1922","","","","",""
"","Clube Desportivo Santa Delia","Zerigolia","Estadio de San Darris","25.800","","23 de agosto de 1955","","","","",""
"","Deportivo Cerdoña de Fútbol","Cerdoña","Santino Benebé","32.000","","6 de marzo de 1902","","","","",""
"","Dream Football Association","Wallhoom","Dreamest State","28.200","","29 de junio de 1980","","","","",""
"","Farelden 03","Ferelden","Marek Schamburgesen","19.000","","5 de abril de 1903","","","","",""
"","Futbol Club Ezube","Ezube","Estadio de la Hermandad","22.500","","20 de octubre de 1929","","","","",""
"","Juventude Mirmanessa","Zerigolia","iL Templo","20.000","","8 de julio de 1950","","","","",""
"","Perkis Football Club","Taluesse","Narkis Camp","36.000","","29 de enero de 1957","","","","",""
"","Sport-Club Kodemburn","Aidkoven","Herdtwoldstadion","31.200","","17 de junio de 1938","","","","",""
"","Sporting Toluao","Taluesse","Toluao Park","27.000","","10 de noviembre de 1945","","","","",""
"","Sportiv Taluesse","Taluesse","Olympic Biergastaluesse","25.000","","12 de diciembre de 1962","","","","",""
"","Vereniging Voetbal Greefschip","Ferelden","Estadio de Gaossult","27.000","","19 de febrero de 1964","","","","",""
"","Wallhoom Villa Football Club","Wallhoom","Villa Staduim","34.000","","21 de noviembre de 1874","","","","",""
"","Weberh United","Wedvisch","Weberhville","20.000","","12 de enero de 1928","","","","",""
"","Nerazzurri Football Club","Vichencia","Giuseppe Miasa","20.000","","","","","","",""
"","Mirmanian Gunners","","","","","","","","","",""
"","Mirmanian Spurs","","","","","","","","","",""
"","Zen F.C","","","","","","","","","",""
"","Mirmanian League - 3rd Division","","","","","","","","","",""
"","Club","Ciudad","Estadio","","1° año en la Div.","","","","","",""
"","Mirmanian League - 4th Division","","","","","","","","","",""
"","Club","Ciudad","Estadio","","1° año en la Div.","","","","","",""
