"","Liga Premier de Paltia Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Colores",""
"","Academie de Foot Badur Kul","Worrub","Stade Badur El-Hayat","23.500","","14 de abril de 1966","24","63,52"," $34.400.000","",""
"","Al-Khalir Sporting Club","Ebioketa","Stade Al-Qamar","21.000","","9 de noviembre de 1971","24","63,21"," $72.100.000","",""
"","Association Sportive Tenduv","Tenduv","Stade de la Liberté","15.000","","22 de enero de 1969","23","62,36"," $21.630.000","",""
"","Atletic Spaijder Clubo","Brizoville","Spider Arena","22.000","","6 de septiembre de 1962","24","62,67"," $20.800.000","",""
"","Cuppe United Football Club","Ebiyem","Harbour Ground","27.800","","3 de mayo de 1970","22","62,35"," $27.650.000","",""
"","Jeunesse Sportive Kobylae","Anetshey","Stade Imazighen","43.500","","18 de febrero de 1964","23","63,43"," $30.490.000","",""
"","Kalkas Assosiativ Equipe","Mgambia","Sahra Stadium","35.000","","11 de junio de 1960","24","64,26"," $62.600.000","",""
"","Momilediem Sendos","Usudo","Stade du Baobab","10.700","","30 de octubre de 1973","24","62,09"," $22.640.000","",""
"","Paltia Warriors Futbol Club","Brizoville","Warriors National Stadium","55.000","","27 de julio de 1961","26","65,56"," $62.090.000","",""
"","Silver Shields","Worrub","Silver Fortress Stadium","20.000","","1 de marzo de 1973","24","62,18"," $32.000.000","",""
"","Stade d'Lovlue","Usudo","Stade des Loups","14.000","","15 de agosto de 1970","22","62,05"," $55.230.000","",""
"","Tissiazom Portiv Mgambia","Mgambia","Mgambia City Estodiom","50.000","","20 de diciembre de 1972","25","66,36"," $76.600.000","",""
"","Walkubs Athletic Club","Brizoville","Panther Park","9.000","","8 de abril de 1969","25","63,76"," $43.470.000","",""
"","Wode Pivle Sporting Club","Ebioketa","Al-Nasr Stadium","18.600","","24 de septiembre de 1967","22","63,14"," $16.300.000","",""
"","Zakka Chiefs Football Club","Ebiyem","Chiefs Arena","46.000","","12 de febrero de 1974","26","63,81"," $71.340.000","",""
"","Zazarak Football Club","Anetshey","Scorpion Stadium","33.000","","17 de junio de 1963","25","63,76"," $24.390.000","",""
