"","Superlig Pasburg Club","👔","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)"
"","01. Ciprovska Fótbolti Klub","Zequi","#REF!","#REF!","44.000","1954","22 de abril de 1901","","",""
"","Arsenal Veút Fótbolti Klub","","#REF!","#REF!","32.000","1978","8 de septiembre de 1954","","",""
"","ATOU Klub Braspór","Mauro","#REF!","#REF!","46.000","1947","28 de mayo de 1941","","",""
"","Augthenesburg","Mauro","#REF!","#REF!","","1937","","","",""
"","Deportiv Razer","Mauro","#REF!","#REF!","42.000","1937","17 de julio de 1904","","",""
"","Dynamo Andaiknoven Klub","Renzo","#REF!","Olimpyis'kyy Stadion Andaiknoven","28000","1963","1951","","",""
"","Félag Deportiv Zarevsyanka","","#REF!","Barysh Tsentr Arena","12000","2015","1985","","",""
"","Fótbolta Klub Hämtraitch 88","Mauro","#REF!","Meister-Arena","28000","1935","1888","","",""
"","Fótboltasamband Doripkya Doripye","","#REF!","#REF!","35.000","1984","30 de junio de 1982","","",""
"","Fótbolti Klub Marsovskâ","","#REF!","Dovska Park","22000","1942","1911","","",""
"","KAS","Zequi","#REF!","Stadion KAS","18000","1939","1928","","",""
"","Katsana Football Klub","Renzo","#REF!","Katsana Arena","8000","2005","1997","","",""
"","Klubovna Doufat","","#REF!","Park Dunna Trigal","26000","1938","1937","","",""
"","Lokomotiv Sozhgli","Mauro","#REF!","#REF!","38.000","1937","11 de enero de 1921","","",""
"","Loshadi Klub Pasburg","","#REF!","Olimpika Stade Loshadi","30000","1937","1905","","",""
"","Strakhovaniye Vona Klub","(Julio)","#REF!","Vona Arena","18000","2012","2001","","",""
"","Totspor","","#REF!","Totspor Arena","25000","1972","1953","","",""
"","Voratas Tyumen Football Klub","Zequi","Andojbah, Andojbah","Stadion Geolog","37500","1952","1944","22","68,45"," $107.800.000"
"","Superlig 2. Pasburg","","","","","","","","",""
"","Club","","Ciudad","Estadio","","","","","",""
"","Romanes af Sozhgli","","Veút Austurland","","","","1919","","",""
"","P.F.C. Mevska Traska","","Andojbah","Pasburg Airlines Stadion","26000","1935","1930","","",""
"","Aldinkach Pasburguians","","Augthenesburg","","","","1922","","",""
"","Cosmopolitan Klub af Pasburg","","Cosmopotan Tarat","","","","1969","","",""
"","Deportiv Daklaj","","Daklaj","","","","1906","","",""
"","Dynamo Anderlaikvan","","Andojbah","","","","1933","","",""
"","Fialové Labutě F.C.","","Nagul","","","","1930","","",""
"","Góðmóðir F.C.","","Andojbah","","","","1939","","",""
"","Hearts af Devushka","","Sigringijh","","","","1968","","",""
"","KAB","","Barysh Tsentr","","","","1928","","",""
"","Klub Razer","","Daklaj","","","","1938","","",""
"","Kolan Klub","","Veút Austurland","","","","1903","","",""
"","Löggjafarþing Klub","","Augthenesburg","","","","1907","","",""
"","Máglos F.C.","","Cosmopotan Tarat","","","","1961","","",""
"","North Styrjaldar Ernir Football Klub","","Hämtraitch","","","","1897","","",""
"","Piwoducha Klub","","Sigringijh","","","","1993","","",""
"","Purytanskaja Klub Burhundyja","","Nagul","","","","1955","","",""
"","Sharpakes F.C.","","Augthenesburg","","","","1970","","",""
"","Skóla Fótbolta og Íþróttir Veút","","Veút Tsentr","","","","1981","","",""
"","Torpedo Veút","","Veút Tsentr","","","","1948","","",""
"","Turich Geislum","","Barysh Tsentr","","","","1899","","",""
"","Zoloto Klub","","Augthenesburg","","","","1940","","",""
"","Superlig 3. Pasburg","","","","","","","","",""
"","Club","","Ciudad","Estadio","","","","","",""
"","Gorod'y's en Klub","","Augthenesburg","","","","1980","","",""
"","Luteín Klub","","Daklaj","","","","1976","","",""
"","Veút Dýrð F.C.","","Veút Vestur","","","","1954","","",""
"","Fellibyl Klub","","Andojbah","","","","1934","","",""
"","Recalí Klub","","Nagul","","","","1987","","",""
"","Natsional Klub af Pasburg","","Augthenesburg","","","","1907","","",""
"","F.C. Casnavar","","Cosmopotan Tarat","","","","2000","","",""
"","Vassen Pilk Klub","","Barysh Tsentr","","","","1993","","",""
"","Saint Issakesen","","Barysh Tsentr","","","","1961","","",""
"","Riddara Sozhgli","","Veút Austurland","","","","1979","","",""
"","Turich Turich Klub","","Barysh Tsentr","","","","1988","","",""
"","Racing Klub","","Nagul","","","","1945","","",""
"","ACK Chistka","","Augthenesburg","","","","1969","","",""
"","Pohose Klub","","Andojbah","","","","2008","","",""
