"","Liga Razu 1º División Club","","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Colores","","Títulos Nac.","Titulos Int.",""
"","Antawara Sporting","","Antawara","Monumental de Antawara","42.500","1930","1910","#REF!","#REF!","#REF!","","","","",""
"","Asociacion Sporting Diamond","","Diamond","Gigante de Razú","37.500","1930","1908","#REF!","#REF!","#REF!","","","","",""
"","Athletic Club Tigers de Razú","","Sarirí","Tigers Stadium","18.500","1998","1952","#REF!","#REF!","#REF!","","","","",""
"","Atletico Blanco","","Diamond","Estadio Municipal","11.000","1931","1927","#REF!","#REF!","#REF!","","","","",""
"","Atletico Soya","","Sarirí","Estadio Sopapeya","4.500","1933","1901","#REF!","#REF!","#REF!","","","","",""
"","Club Atletico Pacha Pacha","","Pacha","Estadio Pacha Pacha","27.000","1930","1918","#REF!","#REF!","#REF!","","","","",""
"","Club Atletico Tupac Juniors","","Pacha","La Tupaquera","15.000","1932","1925","#REF!","#REF!","#REF!","","","","",""
"","Deportivo Sarirí","","Satiro","Municipal de Satiro","48.000","1930","1905","#REF!","#REF!","#REF!","","","","2","2 Subconti"
"","Deportivo Silbido","","Diamond","El Silbador","10.000","1930","1920","#REF!","#REF!","#REF!","","","","",""
"","Loma Tika Football Club","","Antawara","Coronel Retika","21.000","1930","1914","#REF!","#REF!","#REF!","","","","",""
"","Puchero Sporting","","Pacha","El Pucherito","13.000","1935","1910","#REF!","#REF!","#REF!","","","","",""
"","Sportivo Pukah Rukah","","Sarirí","Estadio Pukahs","12.500","1930","1928","#REF!","#REF!","#REF!","","","","",""
"","Liga Razu 2º División","","","","","","","","","","","","","",""
"","Club","","Ciudad","Estadio","","","","Jug.","Ovr","($)","Colores","","","",""
"","Manzanero Futbol Club","","Antawara","La Ensaladera","35.000","1938","1920","","","","","","","",""
"","Club Peya","","Sarirí","Estadio Sopapeya","4.500","1932","1888","","","","","","","",""
"","Rio Plateado","","Pacha","El Monumento Plateado","17.500","1932","1915","","","","","","","",""
"","Sporting Inderac","","Diamond","El Cuadrado","13.000","1930","1908","","","","","","","",""
"","Club Atletico Banano","","Antawara","La Ensaladera","35.000","1942","1905","","","","","","","",""
"","Trebol Futbol Club","","Diamond","Teniente Poker","6.500","1941","1903","","","","","","","",""
