"","Primeira Divisão Zirmagna Club","Ciudad","Estadio","Capacidad","1° año en la Div.","Fundación","Jug.","Ovr","($)","Títulos Nac.","Titulos Int.",""
"","Atlético Novahía","Nova Bahía","Raimundo Bairao","55.000","1915","1906","20","78,40"," $920.600.000","14","9","3 Cont, 2 sub, 2 rec. 2mun"
"","Defensores Zirmagna","Nova Bahía","Stadio Defensorista","77.000","1915","1906","17","78,81"," $809.700.000","14","6","3 Cont, 1 sub, 2 mun"
"10","Lago Unido","Costa Timbeira","Estadio de las Cimas","35.000","1915","1908","","73,17","","4","",""
"","Carnução","São Malandro","Gigante du Zirmagna","53.500","1925","1916","","77,00","75,89473684","5","2","1 sub, 1 rec"
"18","Sportivo Nautico","Nova Bahía","Gran Nautico","15.000","1915","1909","","73,10","","3","",""
"14","Ovai","Ovai","Panela da Ovai","22.100","1918","1913","","71,86","","1","",""
"2","Alaveilense","Veilense","Bassacuda","20.000","1964","1922","","69,27","","2","",""
"4","Daminuista F.C","Litorai","Eterno Curacão","14.200","1930","1928","","68,21","","1","",""
"6","Empernista A.A.","Veilense","Orlando Xaput","19.500","1987","1949","","67,22","","0","",""
"","Meira Rio","Cunçaninha","Bautista Gianesça","47.600","1915","1907","","69,21","","10","",""
"13","Nofresta A.C.","Veilense","Ramon Güillerme","25.000","1932","1932","","66,94","","0","",""
"","Filgranovense","Litorai","Wanderley Batista","11.000","1998","1966","","68,05","","0","2","1 sub, 1 rec"
"","Imperianha","São Malandro","Fausto Vinicius","44.000","1915","1904","","66,68","","7","",""
"","Sport Imperianha","São Malandro","Rio Abeira","35.000","1915","1905","","67,29","","5","",""
"11","Litorai F.C.","Litorai","Estadio Du Litorai","14.000","1997","1961","","67,06","","0","",""
"","Unión Macão","Grila Amarelha","Irmãos Macão","24.000","1971","1935","","66,21","","1","",""
"","Vasco Pernambio","Pernambão","Antonio Piláu","56.000","1915","1909","","65,57","","5","2","1 sub, 1 rec"
"","Permacoense","Pernambão","Velardo Chapão","48.000","1920","1910","","65,60","","10","",""
"9","Luxa Bahía","Costa Timbeira","Gran Paulo Glim","12.000","1938","1921","","67,04","","0","",""
"15","Patenzha F.C.","Grila Amarelha","Tulio Vilançao","10.500","1978","1933","","64,14","","0","",""
